Name,Year,Rating,Runtime,Votes
Out of Time,2021,,90,
Love Hostel,2021,,,
376 D,2020,5.7,128,252
Kotigobba 3,2021,,,
Dil Juunglee,2018,3.7,124,417
Angrezi Mein Kehte Hain,2018,6.8,104,1117
Jug Jugg Jeeyo,2021,,,
Raksha Bandhan,2021,,,
Malaal,2019,6,136,849
Captain Nawab,,,143,
Blank,2019,6.2,107,933
Crack,,,122,
Cheer Haran,2021,9.1,98,123
Bhediya,2022,,,
Liger,2021,,,
Tony: My Mentor the Serial Killer,2018,7.9,124,485
Atkan Chatkan,2020,8.2,126,1762
Silvat,2018,7.1,45,168
Rangeela Raja,2019,2.3,162,215
Innocent The Bhola,,,98,
Major,2021,,,
Krrish 4,,,,
Maassab (The Teacher),2018,8.7,116,154
Black Rose,2020,8.6,120,38
Khejdi,2018,8.1,92,27
Fraud Saiyyan,2019,4.3,109,677
Rosie: The Saffron Chapter,,,,
Roam Rome Mein,2019,7.8,107,50
Someone,2021,,160,
Mudda 370 J&K,2019,8.6,132,698
Satellite Shankar,2019,6.3,135,928
Happy Phirr Bhag Jayegi,2018,4.5,136,1251
NTR Kathanayakudu,2019,5.6,169,1864
Mitron,2018,6.9,119,2334
Rashna:The Ray of Light,,,150,
Hume Tumse Pyaar Kitna,2019,4.9,91,115
The Dark Side of Life: Mumbai City,2018,5.9,125,478
India Lockdown,2021,,,
Firrkie,,,,
Jack & Dil,2018,7.5,98,715
Court Martial,2020,6.8,120,179
Kissebaaz,2019,4.6,122,224
Tejas,,,,
Pal Pal Dil Ke Paas,2019,4.6,154,1032
#Homecoming,2021,,90,
Majjma,2021,8.1,106,24
Evening Shadows,2018,7.1,102,472
Maidaan,2021,,,
Scotland,2019,5.3,120,406
Goodbye,2022,,,
Shakeela,2020,3.2,126,528
Juliet's X-Tape,,,90,
Jai Mummy Di,2020,3.6,103,827
Chhota Bheem Kung Fu Dhamaka,2019,5.2,97,119
Dassehra,2018,3.8,131,316
Jhalki,2019,7.2,104,672
The Incomplete Man,2021,,,
Zamaanat: And Justice for All,2021,,,
Teen Aur Aadha,2018,6.6,121,228
Hope Aur Hum,2018,6.3,96,413
Pepper Chicken,2020,6.8,,281
Nikamma,2021,,,
Penalty,2019,5.5,128,783
Pranaam,2019,4.3,120,273
AA BB KK,2018,8,121,249
Yudhra,2022,,,
Noblemen,2018,5.8,108,221
Black Currency: The Fake Currency Truth Unfolds,,,,
Tom Dick and Harry Returns,2021,,,
Housefull 5,,,,
Khandaani Shafakhana,2019,4,136,1141
The Pickup Artist,2019,8.7,111,85
NCR: Chapter One,2021,7.8,65,20
Welcome to New York,2018,1.6,118,773
The Journey of Karma,2018,6.6,98,89
Alajh Palajh,2019,6.9,136,7
Aadhaar,2019,7.6,107,69
Doordarshan,2020,6.2,119,1335
Ghost,2019,5,130,1287
Fire in the Mountains,2021,6.8,84,26
What are the Odds?,2019,5.4,92,597
Maska,2020,5.8,111,1317
Reva,2018,8.4,159,692
Upstarts,2019,6.7,112,736
Operation Parindey,2020,4.7,60,349
Sangamithra,,,,
Abhinav Bindra Biopic,,,,
Jhootha Kahin Ka,2019,4.7,133,330
Black Rose,2021,5,,46
Hawa Singh,,,,
Moral Nights,2021,9.1,93,36
Badnaam Gali,2019,7.1,95,805
Vikrant Rona,2021,,,
